content	title	publish_date	url	news_id	label
"Page 1 of 1

A protein present on tiny particles released by cancer cells may provide a way to detect pancreatic cancer in its earliest stage, when prospects for successful treatement are best, according to a study by researchers at the University of Texas M.D. Anderson Cancer Center.

The researchers found that the presence of the protein could distinguish with 100 percent accuracy whether patients had early stage pancreatic cancer or chronic pancreatitis, a major risk factor for the cancer. Levels of the protein were markedly lower after surgical removal of a patient's tumors. The study was published in the June 24 issue of the journal Nature.

Pancreatic cancer has one of the lowest survival rates of any cancer, with only 4 percent of patients surviving five years after diagnosis. That is due in part to the lack of any easy way to detect the cancer in its earliest stages. The pancreas is located deep within the body, so early tumors cannot be seen or felt during routine physical exams. Patients usually have no symptoms until the cancer has spread.

Scientists have uncovered various markers that can be used to detect the cancer through a blood test, but those have been too unreliable to recommend widespread screening.

As a result, 80 percent of pancreatic cancer is diagnosed in later stages, when surgery is no longer an option.

The new finding could lead to a blood test that would allow doctors to screen for pancreatic cancer much more effectively. If such a test were developed, it would likely be used first to test patients at high risk for pancreatic cancer. If it can be shown that screening improved outcomes, it could one day be used to screen the general population.

""Studies comparing stage of disease with outcome following surgery suggest that death rates frompancreatic cancer would be reduced if the disease were diagnosed at an earlier stage,"" said Dr. Raghu Kalluri, chair of cancer biology at M.D. Anderson and a co-author of the study. ""This presents an unprecedented opportunity for informative early detection of pancreatic cancer and in designing potential curative surgical options."""	MD Anderson researchers find potential way to detect pancreatic cancer early	2001-05-01 00:00:00	https://web.archive.org/web/20150627132436/http://www.chron.com:80/local/prognosis/article/MD-Anderson-researchers-find-potential-way-to-6346813.php	https://web.archive.org/web/20150627132436/http://www.chron.com:80/local/prognosis/article/MD-Anderson-researchers-find-potential-way-to-6346813.php	
"Type 2 diabetes is not for life Published on: 5 December 2017 Almost half of the patients with Type 2 diabetes supported by their GPs on a weight loss programme were able to reverse their diabetes in a year, a study has found.

The first year results, which are published today in The Lancet, also revealed that almost nine out of 10 people (86%) who lost 15kg or more put their Type 2 diabetes into remission. The study led by Professor Roy Taylor, from Newcastle University, and Professor Mike lean from Glasgow University, found that 45.6% of those who were put on a low calorie diet for three to five months and were able to stop their Type 2 diabetes medications. Importantly, long-term support by routine General Practice staff was given to help the paticipants maintain their weight loss. The trial, called DiRECT (Diabetes Remission Clinical Trial) and funded by Diabetes UK, recruited 298 people between the Newcastle and Glasgow University and builds on Professor Taylor’s earlier pilot work. Professor Taylor, lead researcher of the DiRECT trial, said: “These findings are very exciting. They could revolutionise the way Type 2 diabetes is treated. “The study builds on the work into the underlying cause of the condition, so that we can target management effectively. “Substantial weight loss results in reduced fat inside the liver and pancreas, allowing these organs to return to normal function. “What we’re seeing from DiRECT is that losing weight isn’t just linked to better management of Type 2 diabetes: significant weight loss could actually result in lasting remission.""

Professor Roy Taylor

These findings are very exciting. They could revolutionise the way Type 2 diabetes is treated Professor Roy Taylor

Remission achieved Remission was defined as having blood glucose levels (HbA1c) of less than 6.5% (48mmol/mol) at 12 months, with at least two months without any Type 2 diabetes medications. Of the 298 people recruited to take part in DiRECT, half received standard diabetes care from their GP, whilst the other half received a structured weight management programme within primary care. The programme included a low calorie, nutrient-complete diet for three to five months, food reintroduction and long-term support to maintain weight loss. Type 2 diabetes remission was found to be closely related to weight loss. Over half (57%) of those who lost 10 to 15kg achieved remission, along with a third (34%) of those who lost five to 10kg. Only 4% of the control group achieved remission. The findings have been presented at the International Diabetes Federation Congress in Abu Dhabi today by the lead researchers, Professor Taylor and Professor Mike Lean. Professor Lean said: “Putting Type 2 diabetes into remission as early as possible after diagnosis could have extraordinary benefits, both for the individual and the NHS. DiRECT is telling us it could be possible for as many as half of patients to achieve this in routine primary care, and without drugs. “We’ve found that people were really interested in this approach – almost a third of those who were asked to take part in the study agreed. This is much higher than usual acceptance rates for diabetes clinical trials.""

Two-year trial DiRECT is a two-year trial which aims to find an effective and accessible way to put Type 2 diabetes into remission for the long-term. The trial is delivered through GP practices across Tyneside and Scotland to find out if the benefits of a structured weight management programme can be felt in a real-life primary care setting. DiRECT also aims to understand why significant weight loss results in remission, to understand which groups might benefit in the future. Type 2 diabetes is a life-changing condition that progresses over time, which can have devastating consequences. Finding ways to put it into lasting remission could significantly reduce the cost of delivering diabetes care and treating serious complications such as cardiovascular disease, kidney disease or stroke. Remission could transform the lives of millions of people living with or at risk of Type 2 diabetes. Isobel Murray, 65, from North Ayrshire, took part in DiRECT from 2014 to 2016. She was on the low calorie diet programme for 17 weeks and put her Type 2 diabetes into remission after the first four months. Over the two year trial, Isobel lost more than three and a half stone and no longer needs to take any diabetes medication. Isobel said: “It has transformed my life, I had Type 2 diabetes for two to three years before the study. “I was on various medications which were constantly increasing and I was becoming more and more ill every day. When the opportunity came to go on the DiRECT study, I had absolutely no hesitation. “When the doctors told me that my pancreas was working again, it felt fantastic, absolutely amazing. “I don’t think of myself as a diabetic anymore, I get all my diabetes checks done, but I don’t feel like a diabetic. I am one of the lucky ones to have gone into remission.” Diabetes UK has committed more than £2.8 million to the DiRECT study. Recently, £300,000 has been committed so participants who wish to continue can be followed for up to three years and the full cost-effectiveness of this programme can be evaluated. The funding will provide further understanding around the longer term benefits, to see if a treatment of this kind could be offered to people with Type 2 diabetes in the future. Helping millions Dr Elizabeth Robertson, Director of Research at Diabetes UK, said: “These first year findings of DiRECT demonstrate the potential to transform the lives of millions of people. “We’re very encouraged by these initial results, and the building robust evidence that remission could be achievable for some people. “The trial is ongoing, so that we can understand the long-term effects of an approach like this. It’s very important that anyone living with Type 2 diabetes considering losing weight in this way seeks support and advice from a healthcare professional.” Whether putting Type 2 diabetes into remission can protect against diabetes-related complications later in life is not yet known, which is why it is important that those who achieve remission continue to receive health checks. More research is also needed to find out who could benefit most from treatments like this in the future, taking into account factors like ethnicity and duration of Type 2 diabetes. Reference Primary care-led weight management for remission of Type 2 diabetes (DiRECT): an open-label, cluster-randomised trial Roy Taylor and Michael EJ Lean et al. The Lancet. DOI: 10.1016/S0140-6736(17)33102-1

Latest News"	Type 2 diabetes is not for life	2002-12-05 00:00:00	https://web.archive.org/web/20171207035833/http://www.ncl.ac.uk/press/news/2017/12/directstudy/	https://web.archive.org/web/20171207035833/http://www.ncl.ac.uk/press/news/2017/12/directstudy/	
"Newswise — For three years, Andrew Harder wondered if he had prostate cancer. In 2009, he had routine blood work that revealed an elevated prostate-specific antigen (PSA) level. When PSA is above 4 nanograms per milliliter of blood, it can be one of the first signs of a prostate tumor. Harder’s PSA was 9.

By the time Harder saw a urologist, it had skyrocketed to 20. His doctor recommended the traditional next step: a transrectal ultrasound (TRUS) biopsy, which involves taking random tissue samples from 12 cross sections of the prostate.

Over the course of two years, Harder, 60, an MRI technologist, would have three TRUS biopsies. They were all inconclusive.

“It is frustrating to have a bunch of biopsies with a rising PSA and no proof of cancer,” Harder said.

After Harder’s third biopsy, his urologist was ready to throw in the towel, and that’s when Harder was referred to Jinxing Yu, M.D., at VCU Health. By then, Harder’s PSA was around 30.

Yu is the director of oncologic and prostate imaging in the Department of Radiology at VCU. Over the past five years, he has developed diagnostic techniques using MRI technology to investigate difficult cases like Harder’s.

After one MRI, Yu found Harder’s tumor. After that, Yu performed a targeted biopsy guided by the MRI scanner, allowing him to take tissue samples directly from the tumor.

Harder finally had a diagnosis.

In 2012, he started on a treatment plan: hormone therapy for six months to shrink the tumor and prostate, and then external beam radiation to finish the job. Today, his PSA is normal.

Other patients who continue to hit a brick wall with negative results from TRUS biopsies yet persistently high PSA levels may not be as fortunate.

“A patient had 10 TRUS biopsies and his doctors still couldn’t find a tumor,” Yu said. “If you do not have this kind of advanced imaging, sometimes a patient runs into a situation when a tumor can’t be found and treated because it’s too late — it has already metastasized. He ends up diagnosed with cancer only after the tumor has spread to his bone or lymph nodes years later.”

Precise imaging leads to detection

Magnetic resonance imaging and targeted biopsy for the prostate have provided relief for patients like Harder who have not been able to get an accurate diagnosis. When caught early, prostate cancer is highly treatable.

Much like someone would have an MRI to investigate the cause of back pain, the technology gives doctors eyes on what is happening in prostate tissue. VCU Medical Center is one of the major teaching hospitals in the country doing advanced multiparametric MRI, which involves taking three different types of imaging sequences of the prostate.

Each of the sequences — T2 weighted imaging, diffusion-weighted imaging and dynamic contrast enhanced imaging — tells a story, and together they can be used to make a diagnosis with more than 90 percent accuracy.

Interpreting a prostate MRI to be able to correctly diagnose cancer is a skill that can take years to develop. Yu and his team look for certain patterns that are typical of cancer on each of the different sequences.

“If we put those characteristic features together from each sequence then we can say with a high degree of confidence that this area is concerning for cancer and potentially target it for biopsy,” said Sarah Winks, M.D., an attending physician in the Department of Radiology.

An MRI can also help determine how aggressive a tumor is, Yu said, and indicates if the tumor extends outside of the prostate and involves other areas — all information that helps urologists and radiation oncologists determine the best course of treatment.

Traditional meets emerging technology

In addition to enhancing detection of prostate cancer, magnetic resonance technology also enhances the biopsy process with a procedure called magnetic resonance/ultrasound fusion biopsy. MRI scans are overlaid with real-time ultrasound images to guide the biopsy needle to the tumor.

In 2014, VCU Health’s Department of Radiology, supported by the Division of Urology in the Department of Surgery, purchased ultrasound/MRI fusion biopsy equipment. Prior to this, Yu’s team had performed targeted MRI biopsies with the patient being moved in and out of the MRI scanner as the needle was guided to the target area — a sort of stop-motion procedure that could take up to an hour. The new equipment has simplified and shortened the process to about 20 minutes.

A study published in 2015 by the Center for Cancer Research found that fusion biopsy is 30 percent more accurate in diagnosing high-risk, aggressive cancers than a TRUS biopsy. It is also much better at finding tumors in the anterior part of the prostate, near where Harder’s tumor was located.

Yu credits the technology and also having a dedicated team that can perform multiparametric-MRI, read the MRI scans and conduct biopsies with a very high success rate.

“At most places, there will be a radiologist reading the MR image and a clinician performing the biopsy. The person reading the image and person putting in the needle is different,” Yu said. “Sometimes you don’t get the same result. We do both. That’s one of our strengths.”

New path to diagnosis

Yu has seen how MRI technology has changed prostate patients’ care. “Five years ago, 95 percent of patients with prostate cancer or a high PSA would never get any imaging,” Yu said. “Right now, I think probably 50 or 60 percent get imaging.” Sometimes, these are patients pushing their doctors for a referral as one of Yu’s patients did last year.

Last August, Jim Grandon of Colville, Washington, discovered he had a PSA of 5.3. It was elevated from the 4.1 measurement that he had registered for a few years. The rising PSA was cause for concern. Instead of going through with an immediate TRUS biopsy recommended by his urologist, he decided to research next steps.

“With just going in and doing a blind biopsy like most urologists will do, you have anywhere from 35 to 45 percent success rate,” Grandon said. “I found three or four places around the country with a biopsy success rate of over 85 percent. When I went back to my urologist, he said, ‘Why spend money flying around the country when we can take care of you here?’ I said, ‘Because 85 percent is better than 40 percent.’”

VCU Medical Center was one of the places Grandon had researched to get his diagnostic testing done, and a few phone calls later, he was on a plane flying across the country to see Yu.

On his second day in Richmond, Grandon had an MRI that showed a lesion. The next day, Yu biopsied it. On the fourth day, Grandon flew home and began researching treatment options. He opted for brachytherapy followed by external radiation at a clinic closer to home, and recently completed his treatment.

A change in care

More and more, physicians are hearing about and understanding the benefits of MRI technology for prostate care, which has also been helpful in preventing overdiagnosis and overtreatment. According to the Center for Cancer Research study, MRI targeted biopsies detect 17 percent fewer low-risk tumors. These are tumors that would have never developed into a life-threatening cancer, but might lead a doctor and patient to treat it unnecessarily.

When Yu started prostate MRI screening in 2011, his team performed about 50 scans per year. Now, with the support of Massey Cancer Center, Urology and Radiation Oncology, they are doing about 1,200 multiparametric-MRI and 200 imaging guided biopsies per year. He estimates the volume will continue to increase because VCU will attract patients not only from the Greater Richmond area but also patients such as Grandon from other parts of the country.

Yu hopes the advanced technology means positive changes in the standard of care. He speculates that in the same way women have a baseline mammogram, men would have a baseline prostate MRI and periodic magnetic resonance scans if warranted by bloodwork and family history."	Increasing the Odds of Prostate Cancer Detection	2009-11-04 00:00:00	http://www.newswise.com/articles/view/657854/?sc=sphn	http://www.newswise.com/articles/view/657854/?sc=sphn	
"Dec. 14, 2009 -- A less invasive needle biopsy may be nearly as effective as surgical biopsy at diagnosing breast cancer, and with far fewer side effects.

A new review of more than 80 studies on the two breast cancer screening methods shows breast needle biopsy was able to distinguish between cancerous and noncancerous breast lesions with about the same accuracy as surgical biopsy and less than half the risk of complications.

Women suspected of having breast cancer after initial screening are usually referred for a biopsy to determine whether the lesion is cancerous. In most cases, the lump or lesion is benign or noncancerous and does not require further treatment.

Biopsies may be performed via open surgery on the breast or with a less invasive core-needle biopsy in which a small sample of breast tissue from the affected area is removed through a special needle inserted through the skin.

Researchers say needle biopsy has fewer complications and a shorter recovery time than open surgical biopsy, but some women and doctors may have concerns about the accuracy of the procedure compared with traditional open surgery methods of breast cancer diagnosis.

In the study, published in the Annals of Internal Medicine, researchers reviewed 83 studies on the two methods.

The results showed that core needle biopsies were about as accurate as open surgery at detecting cancerous vs. noncancerous breast lesions.

Needle biopsies also had a much lower rate of complications (less than 1% compared with 2%-10% with open surgery).

In addition, the study showed women initially diagnosed with breast cancer with needle biopsy were more likely to be treated with a single breast cancer surgery than those initially diagnosed by open surgical biopsy.

""Based on currently available evidence, it appears reasonable to substitute core needle biopsy procedures for open surgical biopsy given the comparable sensitivity and lower complication rates,"" write researcher Wendy Bruening, PhD, of the ECRI Institute Evidence-Based Practices Center in Plymouth Meeting, Pa., and colleagues. They say additional studies are needed to find out what factors affect the accuracy of core-needle breast biopsy."	Diagnosing Breast Cancer: Needle Biopsy Best?	2009-12-14 00:00:00	http://www.WebMD.com/breast-cancer/news/20091214/diagnosing-breast-cancer-needle-biopsy-best	http://www.WebMD.com/breast-cancer/news/20091214/diagnosing-breast-cancer-needle-biopsy-best	
"Dec. 15, 2009 (San Antonio) -- A new targeted cancer drug has been shown to shrink tumors in women with metastatic breast cancer after an average of seven other drugs, including Herceptin, failed.

The new drug, called T-DM1, combines Herceptin with a potent chemotherapy drug. It's a Trojan horse approach, where Herceptin homes in on cancer cells and delivers the cancer-killing agent directly to its target.

Tumors shrank in one-third of women with metastatic breast cancer given T-DM1, says Ian Krop, MD, of the Dana-Farber Cancer Institute in Boston. In another 12%, tumors stopped growing for at least six months.

The women remained cancer-free for an average of seven months -- results unheard of in patients this sick, he says.

All the women, who had breast tumors for an average of three years, had cancer that had metastasized, or spread to other parts of the body. They had been treated with an average of seven different therapies, including Herceptin, Tykerb, and Xeloda, and each had failed.

""This is the first study looking at women who have failed so many other treatments,"" Krop tells WebMD. ""But we think these results are as good as we've ever seen is such a refractory [sick] population,"" he says.

The findings were presented at the San Antonio Breast Cancer Symposium."	Targeted Breast Cancer Drug Shrinks Tumors	2009-12-15 00:00:00	http://www.WebMD.com/breast-cancer/news/20091215/targeted-breast-cancer-drug-shrinks-tumors	http://www.WebMD.com/breast-cancer/news/20091215/targeted-breast-cancer-drug-shrinks-tumors	
"Dec. 21, 2009 -- A fatty substance found naturally in the lungs may provide a natural defense against respiratory syncytial virus (RSV) infection.

New research suggests the substance, a lipid known as POPG, may prevent RSV infection as well as limit the spread of the virus once infection has occurred.

""Our findings demonstrate that POPG is a potent antiviral agent both as

a prophylactic and after infection has occurred,"" researcher Dennis Voelker, PhD, professor of medicine at National Jewish Health in Denver, says in a news release. ""While these are still early studies, several characteristics of POPG make me believe that it has real potential as both an antiviral and anti-inflammatory treatment.""

RSV is the major cause of hospitalization in young children under age 2 and is an increasingly problematic infection in adults with chronic lung disease, the elderly, and those with weakened immune systems. There is no vaccine or easy, effective treatment for RSV.

POPGis one of several lipids found in the fluid that lines the air sacs of the lungs. Researchers say that until now, the function of POPG has been unclear.

In the study, published in the Proceedings of the National Academy of Sciences, researchers examined the effects of POPG on RSV infection in human lung cells in the lab and in mice infected with the virus.

They found that inoculating human lung cells with POPG before exposure to RSV prevented infection with the virus as well as the cell death and inflammation normally associated with RSV infection. Applying POPG to the cells after RSV infection also inhibited the spread of the virus to neighboring healthy cells.

In addition, the study showed treating infected mice with POPG dramatically reduced infection and prevented the spread of the inflammatory cells into the lungs.

Researchers say POPG appears to work by binding to RSV and preventing it from binding to other cells. The findings also suggest that POPG’s role in the lungs may be to help the lungs tolerate the daily barrage of inhaled irritants.

POPG is already used in other treatments and has been safely given to millions of premature infants to protect their lungs. It is also inexpensive and easy to use.

Therefore, together with the results of this study, researchers say the compound merits further research as a treatment for RSV infection in humans."	Natural Treatment for RSV Infection?	2009-12-21 00:00:00	http://www.WebMD.com/parenting/news/20091221/natural-treatment-for-rsv-infection	http://www.WebMD.com/parenting/news/20091221/natural-treatment-for-rsv-infection	
"Make that a bottomless cup.

Coffee and tea drinkers are less likely to develop Type 2 diabetes than nondrinkers, with those drinking three to four cups a day at a 25 percent lower risk for the disease than those who drink less than two cups, a large analysis has found. It does not matter whether the drinks are caffeinated or not, said the study, published in The Archives of Internal Medicine.

The analysis does not prove that drinking tea or coffee lowers the risk of the so-called adult-onset diabetes, but it is not the first study to report such a link. And it goes further than other studies, finding that for caffeinated coffee, risk dropped by 5 percent to 10 percent with each additional cup consumed, which the researchers say suggests a causal relationship.

Those drinking more than six cups of coffee a day were at 40 percent lower risk for diabetes than nondrinkers; the figure for those who drank less than a cup per day was just 4 percent.

Some studies have indicated that chemical components of tea and coffee may have beneficial effects on glucose metabolism and insulin sensitivity, but the evidence is mixed. “Caffeine can’t be the answer, because you see the same sort of overall response from diabetes with decaf as with caffeinated coffee,” said the paper’s senior author, Mark Woodward, a professor at Mount Sinai Medical Center in New York."	Study Finds Drinking Coffee and Tea Cuts Risk of Type 2 Diabetes	2009-12-22 00:00:00	http://www.nytimes.com/2009/12/22/health/22risk.html?ref=health	http://www.nytimes.com/2009/12/22/health/22risk.html?ref=health	
"Health Experts Call For Heart Checkups For Kids

Enlarge this image toggle caption Michael Perez/AP Michael Perez/AP

In growing numbers, health experts are recommending screening for heart disease in children, especially those who play sports.

One in 100,000 people ages 12 to 24 are estimated to die suddenly and unexpectedly as a result of congenital undiagnosed heart malfunctions. And children who play sports are nearly three times more likely to suffer sudden cardiac death than their nonathletic counterparts.

""Few of the kids actually experience sudden death while they're in class or at home,"" says Thomas Debauche, a Houston cardiologist. ""It's pretty much while they're in training or while they're on the field performing, because that's when the adrenalin is flowing,"" and that's when they're calling on the heart for peak performance.

These surprise attacks are due to inherited problems that children are born with. Cardiologist Douglas Zipes, past president of the American Academy of Cardiology, says the problems kids suffer are typically electrical, like abnormal heart rhythms, or structural, like a thickening of the heart muscle. Both of these problems are exacerbated during exertion when kids play sports.

According to Zipes, ""The adrenalin that is released when you're participating [in sports] can stimulate this abnormally thick heart muscle and cause a fatal heart rhythm problem, that is a very rapid heartbeat with no effective contraction, no blood being ejected to the brain and other organs."" The result is sudden cardiac death.

Typically, schools require kids to provide a family history and have a simple physical exam before participating in sports. But Zipes says more should be done.

Cardiologist Debauche agrees. He recently screened more than 2,000 high school athletes in the Houston area, using electrocardiogram, or EKG, to measure the electrical activity of the heart.

About 10 percent of the students had an abnormal EKG. One of them was Louis Anthony, who suffered from asthma. In severe cases, asthma can cause the heart to thicken and put kids at risk of cardiomyopathy and sudden death. Anthony's asthma diminished over time, and he says he can still play soccer, run fast and breathe ""just fine.""

After the abnormal EKG result, however, Debauche told Anthony and his parents to closely monitor the asthma. They have.

For other students who had abnormal EKG results, some received medication for blood pressure and others were treated for abnormal heart rhythms. About 1 percent were told it was too dangerous for them to continue in sports.

Three students had serious heart problems, including one who suffered from a rare disease in which the heart muscle is spongy and contracts poorly.

""He was literally running the stadium stairs at the time we found him,"" Debauche says. ""He was preparing for track season by running up and down the stadium stairs.""

Debauche says the heart screening turned out to be life-saving for this student athlete. The student now has an implantable defibrillator and is awaiting a heart transplant.

The severity of this and the other two problems that turned up as a result of the abnormal EKGs are reason enough, Debauche says, to screen all school athletes nationwide.

Some health experts argue that would be too costly. There's no official policy from the American College of Cardiology, but officials say most members support screening student athletes.

The American Heart Association suggests that athletes who are identified as at risk for heart problems as a result of a family history or physical exam be referred for further cardiovascular examination, which could include an electrocardiogram."	Health Experts Call For Heart Checkups For Kids	2009-12-28 00:00:00	http://www.NPR.org/templates/story/story.php?storyId=121963778	http://www.NPR.org/templates/story/story.php?storyId=121963778	
"Dec. 29, 2009 -- Scientists at the Dana-Farber Cancer Institute say they have developed a compound that may be capable of halting a common type of drug-resistant lung cancer.

Their study is published in the Dec. 24/31 issue of the journal Nature.

The researchers say the framework of the new compound is different from that of other cancer drugs and acts against a protein that carries a structural defect, according to a news release. That protein is known as an epidermal growth factor receptor (EGFR) kinase.

The scientists say non-small cell lung cancers that had become invulnerable to the chemotherapy drugs Iressa and Tarceva were stymied in a study by a compound designed and formulated in the Dana-Farber laboratory.

The researchers say their new compound shows how fast lung cancer research and development are moving forward.

The Dana-Farber scientists say current [EGFR] inhibitors Iressa and Tarceva prevent EGFR from sending signals that are essential to keep tumor cells growing, the researchers say.

However, over time, the tumor cells develop additional mutations, enabling them to grow again, even in the presence of the drugs Iressa or Tarceva.

The scientists say in the news release that not only did they find that a compound called WZ4002 can slow tumor growth, but that it is possible to ""selectively target the drug-resistant mutant EGFR in tumors, with relatively less effect on the normal EGFR in health tissues.""

Much work lies ahead in determining whether the compound and related ones will prove to be effective therapies, but the researchers say their discovery demonstrates the power of screening specially designed compounds against cancers ""with certain genetic quirks.""

It's early to discuss the use of such compounds in patients, the scientists say, but one of the researchers, Michael J. Eck, MD, PhD, also of Dana-Farber, says he's optimistic their approach ""will lead to an effective treatment for the thousands of non-small cell lung cancer patients worldwide who develop resistance to Iressa and Tarceva every year.""

The new compound seems promising in mouse models, the researchers say, adding they hope it proves effective in clinical trials and is better tolerated than drugs now used.

Lung cancer is the most common cause of cancer death in the U.S. for men and women. Non-small cell lung cancer constitutes about 85-90% of lung cancer cases."	Compound May Fight Hard-to-Treat Lung Cancer	2009-12-29 00:00:00	http://www.WebMD.com/lung-cancer/news/20091229/compound-may-fight-hard-to-treat-lung-cancer	http://www.WebMD.com/lung-cancer/news/20091229/compound-may-fight-hard-to-treat-lung-cancer	
"Jan. 6, 2010 -- A new imaging technique that measures the random motion of water within the brain may prove useful for detecting early signs of Alzheimer's disease.

The technique, known as diffusion tensor imaging (DTI) or diffusion MRI, is used to assess changes in the white matter regions of the brain.

But it is increasingly clear that DTI can also be used to identify very small structural changes in the gray matter of the brain, which is critical for learning and memory, researcher Giovanni A. Carlesimo, MD, PhD, of Italy's Tor Vergata University tells WebMD.

In a study published in the Jan. 19 issue of Neurology, Carlesimo and colleagues found that DTI scanning predicted declines in memory performance with more accuracy than traditional MRI.

""This type of brain scan appears to be a better way to measure how healthy the brain is in people who are experiencing memory loss,"" Carlesimo says in a news release. ""This might help doctors when trying to differentiate between normal aging and diseases like Alzheimer's."""	New Brain Scan May Predict Alzheimer's	2010-01-06 00:00:00	http://www.WebMD.com/alzheimers/news/20100106/new-brain-scan-may-predict-alzheimers	http://www.WebMD.com/alzheimers/news/20100106/new-brain-scan-may-predict-alzheimers	
